                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.33861,                 1.6551,                 1.0218,                0.49049,                0.99074,                0.50946,                0.50796,                0.27913,                 1.2595,                  0.659,             0.00055017,             0.00055017,             0.00055017
                      2,                0.24356,                 1.1127,                0.93517,                0.49957,                 0.9962,                0.53222,                0.53221,                 0.2262,                 1.0809,                0.55179,              0.0010949,              0.0010949,              0.0010949
                      3,                0.23821,                 1.0012,                0.93355,                0.47999,                0.97311,                0.52718,                0.50813,                0.32088,                 1.1648,                0.67626,              0.0016286,              0.0016286,              0.0016286
                      4,                0.21446,                 0.9294,                 0.9117,                0.49589,                0.99769,                0.52764,                0.52591,                0.36563,                 1.0261,                0.69448,              0.0016175,              0.0016175,              0.0016175
                      5,                0.19972,                0.88961,                0.90616,                0.49475,                0.99306,                0.52634,                0.48634,                0.31117,                0.96439,                0.61548,               0.001601,               0.001601,               0.001601
                      6,                 0.1972,                0.86004,                0.90492,                0.49906,                0.99769,                0.53066,                0.53059,                0.23214,                0.88504,                0.55223,              0.0015845,              0.0015845,              0.0015845
                      7,                0.18038,                0.84221,                0.90152,                0.49908,                0.99769,                0.53162,                0.53081,                 0.2688,                0.88848,                0.63018,               0.001568,               0.001568,               0.001568
                      8,                0.16566,                0.82969,                0.88923,                0.48739,                0.99769,                0.55282,                0.55145,                0.22011,                0.88583,                0.54291,              0.0015515,              0.0015515,              0.0015515
                      9,                 0.1617,                0.82652,                0.89179,                0.49858,                      1,                0.52738,                0.51538,                0.23474,                0.82543,                0.60265,               0.001535,               0.001535,               0.001535
                     10,                0.15016,                0.81413,                0.88722,                0.49987,                      1,                0.53102,                0.53101,                0.16119,                0.80759,                0.49033,              0.0015185,              0.0015185,              0.0015185
                     11,                0.14742,                0.80521,                0.88154,                0.49716,                0.98444,                0.53908,                0.53364,                0.21596,                0.86449,                0.54586,               0.001502,               0.001502,               0.001502
                     12,                 0.1424,                0.80067,                0.88372,                0.49898,                0.99608,                0.54092,                0.54018,                0.19311,                0.79951,                0.54583,              0.0014855,              0.0014855,              0.0014855
                     13,                0.13897,                0.79533,                0.88691,                 0.4981,                      1,                0.51796,                0.51795,                 0.1683,                0.80555,                0.50225,               0.001469,               0.001469,               0.001469
                     14,                0.12984,                0.78958,                0.87962,                0.49854,                0.99769,                 0.5247,                 0.5247,                0.18599,                0.81424,                0.53514,              0.0014525,              0.0014525,              0.0014525
                     15,                0.13088,                0.78752,                0.88226,                0.49829,                      1,                0.53221,                0.52996,                0.13806,                  0.817,                0.47807,               0.001436,               0.001436,               0.001436
                     16,                0.12323,                0.78711,                 0.8803,                 0.4985,                0.99769,                0.53024,                 0.5302,                0.16334,                0.80215,                 0.5264,              0.0014195,              0.0014195,              0.0014195
                     17,                 0.1244,                0.78316,                0.88002,                 0.4969,                      1,                0.52271,                0.52192,                 0.2278,                 0.8081,                0.58302,              0.0014029,              0.0014029,              0.0014029
                     18,                0.12888,                0.79098,                 0.8837,                0.49869,                      1,                0.52276,                0.52236,                0.17919,                0.77887,                 0.5233,              0.0013864,              0.0013864,              0.0013864
                     19,                0.11749,                0.77815,                0.87828,                0.49764,                0.99623,                0.52572,                0.52122,                0.21622,                 0.8223,                0.58529,              0.0013699,              0.0013699,              0.0013699
                     20,                0.12095,                0.77714,                0.87114,                0.49839,                      1,                0.52832,                0.52805,                0.14028,                0.79457,                0.48397,              0.0013534,              0.0013534,              0.0013534
                     21,                 0.1186,                0.78126,                0.87967,                0.49709,                0.99769,                 0.5411,                0.54109,                0.19232,                0.82752,                 0.5381,              0.0013369,              0.0013369,              0.0013369
                     22,                0.12328,                0.77679,                0.88535,                0.49996,                0.99956,                0.52741,                0.52738,                0.17761,                0.79552,                0.51466,              0.0013204,              0.0013204,              0.0013204
                     23,                0.11152,                0.77244,                0.87835,                0.49977,                0.99951,                0.52495,                0.52448,                0.15184,                0.78938,                0.50919,              0.0013039,              0.0013039,              0.0013039
                     24,                0.12303,                0.83374,                0.88412,                0.49911,                0.99873,                0.54411,                0.54378,                0.17709,                0.79757,                0.52643,              0.0012874,              0.0012874,              0.0012874
                     25,                0.11805,                0.77663,                0.87466,                0.49962,                      1,                0.53886,                0.53877,                0.17633,                0.81057,                0.54451,              0.0012709,              0.0012709,              0.0012709
                     26,                0.10895,                0.77292,                0.86992,                0.49946,                0.99769,                0.52261,                0.52261,                0.16246,                0.78103,                0.51208,              0.0012544,              0.0012544,              0.0012544
