                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.11241,                0.76488,                0.86803,                0.49778,                      1,                0.52409,                0.52333,                0.09762,                0.73614,                0.38091,              0.0013699,              0.0013699,              0.0013699
                     38,                0.11031,                0.76854,                0.86488,                0.49953,                      1,                0.54607,                0.54554,                0.09849,                0.77587,                 0.3886,              0.0013617,              0.0013617,              0.0013617
                     39,                0.10881,                0.76351,                0.86313,                 0.4979,                0.99769,                0.53354,                0.53354,                0.08278,                0.73904,                 0.3747,              0.0013534,              0.0013534,              0.0013534
                     40,                 0.1025,                0.76098,                0.86211,                0.49978,                      1,                0.53165,                 0.5312,                0.12706,                0.79984,                0.40992,              0.0013452,              0.0013452,              0.0013452
                     41,                0.10021,                0.75798,                0.86505,                0.49763,                      1,                0.51545,                0.51448,                0.11513,                0.77859,                0.40303,              0.0013369,              0.0013369,              0.0013369
                     42,                0.10516,                0.76789,                0.86309,                0.49839,                      1,                0.52029,                 0.5198,                0.13404,                0.80317,                 0.4063,              0.0013287,              0.0013287,              0.0013287
                     43,                0.10084,                0.75943,                0.86202,                0.49872,                      1,                0.53258,                0.53177,                0.14972,                0.76288,                0.41873,              0.0013204,              0.0013204,              0.0013204
                     44,                0.12294,                0.78169,                0.89914,                0.49502,                      1,                0.55475,                 0.5546,                0.08104,                0.74285,                0.37257,              0.0013122,              0.0013122,              0.0013122
                     45,                0.11735,                0.76831,                0.87001,                0.49553,                      1,                0.54397,                  0.542,                0.10336,                0.77219,                0.38702,              0.0013039,              0.0013039,              0.0013039
                     46,                0.11189,                0.76323,                0.86329,                0.49582,                      1,                0.53094,                0.53092,                0.11055,                0.77419,                0.38827,              0.0012957,              0.0012957,              0.0012957
                     47,                0.10363,                0.76168,                0.86363,                0.49973,                0.99956,                 0.5431,                 0.5431,                0.07551,                0.72798,                0.36553,              0.0012874,              0.0012874,              0.0012874
                     48,                0.10721,                0.76267,                0.86395,                0.49734,                      1,                0.54549,                0.54547,                0.10517,                0.80622,                0.39533,              0.0012792,              0.0012792,              0.0012792
                     49,                0.09973,                0.75759,                0.86587,                 0.4991,                      1,                 0.5267,                0.52655,                0.08972,                0.75727,                0.36767,              0.0012709,              0.0012709,              0.0012709
                     50,                0.10098,                0.75717,                0.86163,                 0.4988,                      1,                  0.542,                0.54175,                0.09079,                 0.7424,                0.37224,              0.0012627,              0.0012627,              0.0012627
                     51,                0.10137,                 0.7611,                0.85943,                0.47333,                      1,                0.51941,                 0.5194,                0.11866,                0.81836,                0.39208,              0.0012544,              0.0012544,              0.0012544
                     52,                0.10809,                0.76366,                0.87482,                0.49882,                      1,                0.53294,                0.53288,                0.10722,                0.77922,                0.38514,              0.0012462,              0.0012462,              0.0012462
                     53,                0.10139,                0.75906,                0.86709,                0.49879,                      1,                 0.5366,                0.53558,                0.08287,                0.74871,                0.37411,              0.0012379,              0.0012379,              0.0012379
                     54,                0.10593,                0.75838,                0.86165,                0.49871,                0.99996,                0.53672,                 0.5361,                0.12937,                0.74242,                0.39521,              0.0012297,              0.0012297,              0.0012297
                     55,                0.09936,                0.75932,                0.85989,                0.49983,                      1,                0.54008,                0.54008,                 0.1237,                0.73066,                0.39653,              0.0012214,              0.0012214,              0.0012214
                     56,                0.09514,                0.75823,                0.86599,                0.49957,                      1,                 0.5371,                0.53694,                0.10976,                0.74493,                0.38681,              0.0012132,              0.0012132,              0.0012132
                     57,                0.09296,                0.75669,                0.86733,                0.49857,                      1,                0.52773,                0.52712,                 0.0942,                0.78066,                0.38299,              0.0012049,              0.0012049,              0.0012049
                     58,                0.09316,                0.75701,                0.86393,                0.49903,                      1,                0.52266,                0.52265,                0.10683,                0.76327,                0.39656,              0.0011967,              0.0011967,              0.0011967
                     59,                0.09503,                0.75676,                0.86349,                0.49926,                      1,                0.54697,                0.54686,                0.11537,                0.75178,                0.39317,              0.0011884,              0.0011884,              0.0011884
                     60,                0.09423,                 0.7538,                0.85985,                 0.4957,                      1,                0.54866,                0.54864,                0.15039,                0.80471,                 0.4134,              0.0011802,              0.0011802,              0.0011802
                     61,                0.09198,                 0.7585,                0.85954,                 0.4989,                0.99769,                0.54908,                0.54908,                0.17189,                 0.7892,                0.44223,              0.0011719,              0.0011719,              0.0011719
                     62,                0.09634,                0.75619,                0.86069,                0.49756,                0.99749,                0.53869,                0.53869,                0.17192,                0.77222,                0.43781,              0.0011636,              0.0011636,              0.0011636
                     63,                0.09102,                0.75881,                0.86088,                0.47981,                      1,                0.52433,                0.52045,                0.14735,                0.79863,                0.41557,              0.0011554,              0.0011554,              0.0011554
                     64,                0.08404,                0.75183,                0.85929,                0.49859,                      1,                 0.5272,                0.52632,                0.15151,                0.76382,                0.42072,              0.0011471,              0.0011471,              0.0011471
                     65,                0.08331,                0.75334,                0.86433,                 0.4975,                      1,                0.52833,                0.52829,                0.15962,                0.76744,                0.42749,              0.0011389,              0.0011389,              0.0011389
                     66,                0.08804,                0.75472,                0.86056,                 0.4993,                      1,                0.53149,                0.53061,                0.12274,                0.76832,                0.39836,              0.0011306,              0.0011306,              0.0011306
                     67,                0.08487,                0.75248,                0.86437,                0.49736,                      1,                 0.5378,                0.53728,                0.10569,                0.75824,                0.39228,              0.0011224,              0.0011224,              0.0011224
                     68,                0.08274,                0.75023,                0.85574,                0.49982,                      1,                0.52722,                0.52722,                0.13152,                0.79343,                 0.4072,              0.0011141,              0.0011141,              0.0011141
                     69,                0.08407,                0.75061,                0.85599,                 0.4958,                      1,                0.53234,                0.53206,                0.13166,                0.79113,                0.40411,              0.0011059,              0.0011059,              0.0011059
                     70,                0.08813,                 0.7591,                0.86707,                0.49875,                      1,                0.53007,                0.52903,                0.14634,                0.77279,                0.41697,              0.0010976,              0.0010976,              0.0010976
                     71,                0.08363,                0.74996,                0.85873,                0.49968,                      1,                0.52906,                0.52865,                0.10115,                 0.7435,                0.38265,              0.0010894,              0.0010894,              0.0010894
                     72,                0.08255,                0.75279,                  0.859,                 0.4986,                      1,                 0.5311,                0.53076,                0.14006,                0.79586,                0.41722,              0.0010811,              0.0010811,              0.0010811
                     73,                0.09009,                0.75065,                0.86848,                 0.4998,                      1,                0.53882,                0.53833,                  0.109,                0.75067,                0.38268,              0.0010729,              0.0010729,              0.0010729
                     74,                0.08245,                0.75412,                0.86033,                 0.4986,                      1,                0.52898,                0.52885,                0.10278,                0.78463,                0.38545,              0.0010646,              0.0010646,              0.0010646
                     75,                0.08642,                0.75522,                 0.8597,                0.49936,                      1,                0.52905,                0.52884,                0.10177,                0.78099,                0.38343,              0.0010564,              0.0010564,              0.0010564
                     76,                 0.1139,                0.77674,                0.89175,                0.49857,                      1,                0.53151,                0.53151,                0.10559,                0.79339,                0.38815,              0.0010481,              0.0010481,              0.0010481
                     77,                0.08361,                0.75461,                0.86057,                0.49572,                      1,                0.53191,                 0.5248,                0.13563,                0.84357,                0.40759,              0.0010399,              0.0010399,              0.0010399
                     78,                0.08132,                0.75077,                0.85697,                 0.4894,                0.99769,                0.54229,                0.54107,                0.08216,                0.75654,                0.36317,              0.0010316,              0.0010316,              0.0010316
                     79,                0.08295,                0.74966,                0.86524,                0.49864,                      1,                0.53996,                0.53995,                0.13931,                0.76362,                0.40688,              0.0010234,              0.0010234,              0.0010234
