                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.11045,                 0.7607,                0.86624,                0.49543,                      1,                0.55105,                0.55047,                0.10873,                0.75576,                0.47283,              0.0013699,              0.0013699,              0.0013699
                     38,                0.11522,                0.76822,                0.87728,                0.47867,                0.92008,                0.50677,                0.50459,                0.13361,                0.96999,                0.43812,              0.0013617,              0.0013617,              0.0013617
                     39,                0.11033,                 0.7626,                 0.8687,                0.49943,                      1,                0.51617,                0.51602,                0.10074,                0.75661,                0.45558,              0.0013534,              0.0013534,              0.0013534
                     40,                0.11518,                0.76497,                0.87254,                0.49754,                0.99264,                0.53312,                0.53307,                 0.1148,                0.77915,                0.37909,              0.0013452,              0.0013452,              0.0013452
                     41,                0.10873,                0.75969,                0.86756,                 0.3426,                0.99495,                0.44416,                0.40853,                 0.1254,                 1.1368,                0.46364,              0.0013369,              0.0013369,              0.0013369
                     42,                0.10911,                0.76658,                0.87133,                0.49884,                0.99933,                 0.5186,                0.51623,                0.08449,                0.77475,                 0.6035,              0.0013287,              0.0013287,              0.0013287
                     43,                0.10695,                0.75968,                 0.8747,                0.42439,                0.93374,                0.48801,                0.48684,                0.10247,                 1.0505,                0.75692,              0.0013204,              0.0013204,              0.0013204
                     44,                0.10937,                0.77133,                0.87049,                0.45765,                      1,                0.50676,                0.47936,                0.15275,                0.88108,                0.67237,              0.0013122,              0.0013122,              0.0013122
                     45,                0.10704,                0.76868,                0.87471,                0.49363,                      1,                0.52319,                0.52089,                0.12067,                0.76996,                0.49528,              0.0013039,              0.0013039,              0.0013039
                     46,                0.10806,                0.76408,                0.87281,                0.49726,                      1,                0.51203,                0.51093,                0.10975,                0.75505,                0.62562,              0.0012957,              0.0012957,              0.0012957
