                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.10097,                0.76682,                0.87138,                0.49592,                      1,                0.51479,                0.50568,                0.18877,                0.80971,                0.53497,              0.0013699,              0.0013699,              0.0013699
                     38,                0.09911,                0.76845,                0.87105,                0.49876,                      1,                0.53316,                0.53251,                0.16516,                0.78703,                0.49613,              0.0013617,              0.0013617,              0.0013617
                     39,                0.09831,                0.76786,                0.86813,                0.49815,                0.99925,                0.53495,                0.53483,                0.13066,                0.77767,                0.45789,              0.0013534,              0.0013534,              0.0013534
                     40,                0.09683,                0.76623,                0.86593,                0.49916,                0.99769,                0.54271,                0.54195,                0.18494,                0.78105,                0.52764,              0.0013452,              0.0013452,              0.0013452
                     41,                0.09466,                0.76492,                0.86792,                0.49847,                      1,                0.53721,                0.53707,                0.14402,                0.76973,                 0.4878,              0.0013369,              0.0013369,              0.0013369
                     42,                0.09667,                0.76784,                0.87145,                0.49862,                      1,                0.52744,                0.52742,                0.15318,                0.75537,                0.49741,              0.0013287,              0.0013287,              0.0013287
                     43,                0.09022,                0.75992,                0.87076,                0.49857,                      1,                0.53039,                0.53034,                0.12697,                0.75828,                0.47274,              0.0013204,              0.0013204,              0.0013204
                     44,                0.12005,                0.80151,                0.88949,                0.49935,                      1,                0.53791,                0.53689,                0.15778,                0.77841,                0.51336,              0.0013122,              0.0013122,              0.0013122
                     45,                0.08842,                0.76492,                0.87032,                0.49855,                      1,                0.52796,                0.52776,                0.12986,                0.76481,                0.47277,              0.0013039,              0.0013039,              0.0013039
                     46,                0.10585,                0.77399,                0.88396,                0.49992,                      1,                0.53422,                0.53422,                0.11774,                 0.7596,                0.45251,              0.0012957,              0.0012957,              0.0012957
                     47,                0.09412,                0.76602,                0.86949,                0.49691,                      1,                0.56238,                0.56238,                0.12462,                0.75241,                 0.4675,              0.0012874,              0.0012874,              0.0012874
                     48,                0.09146,                0.76272,                0.86882,                0.49735,                0.99769,                0.55123,                0.55123,                0.16362,                0.76641,                0.51038,              0.0012792,              0.0012792,              0.0012792
